2023-02-16 15:59:06,042 INFO [dump-all-ok] gateway.yaml+DEFAULT_GROUP, 1634094983051, length=1305, md5=578cee6cc24769ea4152eb58db3727f5

2023-02-16 15:59:06,046 INFO [dump-all-ok] registry.yaml+DEFAULT_GROUP, 1634091608580, length=29, md5=9c8f631566a8d0bea298fe4e35140ed7

2023-02-16 15:59:06,047 INFO [dump-all-ok] account.yaml+DEFAULT_GROUP, 1634091649476, length=1201, md5=de414788a6d76623d287b1c9d30733c2

2023-02-16 15:59:06,047 INFO [dump-all-ok] payment.yaml+DEFAULT_GROUP, 1634091674065, length=1201, md5=ed0c1cdacaf69386ac8d0c6a06f58d6a

2023-02-16 15:59:06,047 INFO [dump-all-ok] security.yaml+DEFAULT_GROUP, 1634091686422, length=771, md5=4c2602d8b9088d663bcab671ee615f22

2023-02-16 15:59:06,047 INFO [dump-all-ok] warehouse.yaml+DEFAULT_GROUP, 1634091698198, length=1205, md5=b87f5a85633e7e25d04ce0d6e6d3a0ae

2023-02-16 16:00:45,417 INFO [dump-all-ok] gateway.yaml+DEFAULT_GROUP, 1634094983051, length=1305, md5=578cee6cc24769ea4152eb58db3727f5

2023-02-16 16:00:45,417 INFO [dump-all-ok] registry.yaml+DEFAULT_GROUP, 1634091608580, length=29, md5=9c8f631566a8d0bea298fe4e35140ed7

2023-02-16 16:00:45,417 INFO [dump-all-ok] account.yaml+DEFAULT_GROUP, 1634091649476, length=1201, md5=de414788a6d76623d287b1c9d30733c2

2023-02-16 16:00:45,426 INFO [dump-all-ok] payment.yaml+DEFAULT_GROUP, 1634091674065, length=1201, md5=ed0c1cdacaf69386ac8d0c6a06f58d6a

2023-02-16 16:00:45,429 INFO [dump-all-ok] security.yaml+DEFAULT_GROUP, 1634091686422, length=771, md5=4c2602d8b9088d663bcab671ee615f22

2023-02-16 16:00:45,429 INFO [dump-all-ok] warehouse.yaml+DEFAULT_GROUP, 1634091698198, length=1205, md5=b87f5a85633e7e25d04ce0d6e6d3a0ae

2023-02-16 16:12:25,697 INFO [dump-all-ok] gateway.yaml+DEFAULT_GROUP, 1634094983051, length=1305, md5=578cee6cc24769ea4152eb58db3727f5

2023-02-16 16:12:25,697 INFO [dump-all-ok] registry.yaml+DEFAULT_GROUP, 1634091608580, length=29, md5=9c8f631566a8d0bea298fe4e35140ed7

2023-02-16 16:12:25,701 INFO [dump-all-ok] account.yaml+DEFAULT_GROUP, 1634091649476, length=1201, md5=de414788a6d76623d287b1c9d30733c2

2023-02-16 16:12:25,702 INFO [dump-all-ok] payment.yaml+DEFAULT_GROUP, 1634091674065, length=1201, md5=ed0c1cdacaf69386ac8d0c6a06f58d6a

2023-02-16 16:12:25,703 INFO [dump-all-ok] security.yaml+DEFAULT_GROUP, 1634091686422, length=771, md5=4c2602d8b9088d663bcab671ee615f22

2023-02-16 16:12:25,703 INFO [dump-all-ok] warehouse.yaml+DEFAULT_GROUP, 1634091698198, length=1205, md5=b87f5a85633e7e25d04ce0d6e6d3a0ae

2023-02-16 16:20:46,928 WARN [dump-ignore] ignore to save cache file. groupKey=gateway.yaml+DEFAULT_GROUP, md5=52e9f1a7edeb44229b275d09efe50f0c, lastModifiedOld=1676535161357, lastModifiedNew=1676535646827

2023-02-16 16:21:10,179 WARN [dump-ignore] ignore to save cache file. groupKey=account.yaml+DEFAULT_GROUP, md5=de414788a6d76623d287b1c9d30733c2, lastModifiedOld=1634091649476, lastModifiedNew=1676535670078

2023-02-16 16:25:32,745 WARN [dump-ignore] ignore to save cache file. groupKey=security.yaml+DEFAULT_GROUP, md5=9bc54b07d46f50aa9b48629da6f4970f, lastModifiedOld=1676535884866, lastModifiedNew=1676535932708

2023-02-16 16:26:48,090 INFO [dump-all-ok] gateway.yaml+DEFAULT_GROUP, 1676535898022, length=1297, md5=4250f1dfd95dcdf45b74df4fd4edb44c

2023-02-16 16:26:48,090 INFO [dump-all-ok] registry.yaml+DEFAULT_GROUP, 1676535906065, length=21, md5=580cb51bcafeae110cccb2dabf620612

2023-02-16 16:26:48,091 INFO [dump-all-ok] account.yaml+DEFAULT_GROUP, 1676535915431, length=1193, md5=f2c7290640df26356e666f99d2f7cb2a

2023-02-16 16:26:48,091 INFO [dump-all-ok] payment.yaml+DEFAULT_GROUP, 1676535925187, length=1193, md5=553e6f720c5e3d6ba3d2a4c68d3dfcb5

2023-02-16 16:26:48,092 INFO [dump-all-ok] security.yaml+DEFAULT_GROUP, 1676535932708, length=763, md5=9bc54b07d46f50aa9b48629da6f4970f

2023-02-16 16:26:48,092 INFO [dump-all-ok] warehouse.yaml+DEFAULT_GROUP, 1676535941472, length=1197, md5=eab27c391d34ebb471f70e958e435086

2023-02-16 16:49:37,160 INFO [dump-all-ok] gateway.yaml+DEFAULT_GROUP, 1676535898022, length=1297, md5=4250f1dfd95dcdf45b74df4fd4edb44c

2023-02-16 16:49:37,160 INFO [dump-all-ok] registry.yaml+DEFAULT_GROUP, 1676535906065, length=21, md5=580cb51bcafeae110cccb2dabf620612

2023-02-16 16:49:37,160 INFO [dump-all-ok] account.yaml+DEFAULT_GROUP, 1676535915431, length=1193, md5=f2c7290640df26356e666f99d2f7cb2a

2023-02-16 16:49:37,160 INFO [dump-all-ok] payment.yaml+DEFAULT_GROUP, 1676535925187, length=1193, md5=553e6f720c5e3d6ba3d2a4c68d3dfcb5

2023-02-16 16:49:37,160 INFO [dump-all-ok] security.yaml+DEFAULT_GROUP, 1676535932708, length=763, md5=9bc54b07d46f50aa9b48629da6f4970f

2023-02-16 16:49:37,160 INFO [dump-all-ok] warehouse.yaml+DEFAULT_GROUP, 1676535941472, length=1197, md5=eab27c391d34ebb471f70e958e435086

2023-02-16 16:49:54,666 WARN [dump-ignore] ignore to save cache file. groupKey=security.yaml+DEFAULT_GROUP, md5=9bc54b07d46f50aa9b48629da6f4970f, lastModifiedOld=1676535932708, lastModifiedNew=1676537394210

2023-02-16 16:57:22,191 INFO [dump-all-ok] gateway.yaml+DEFAULT_GROUP, 1676535898022, length=1297, md5=4250f1dfd95dcdf45b74df4fd4edb44c

2023-02-16 16:57:22,191 INFO [dump-all-ok] registry.yaml+DEFAULT_GROUP, 1676535906065, length=21, md5=580cb51bcafeae110cccb2dabf620612

2023-02-16 16:57:22,192 INFO [dump-all-ok] account.yaml+DEFAULT_GROUP, 1676537702281, length=1051, md5=ad62efb66c72aeb9fe67706257bc4b7b

2023-02-16 16:57:22,192 INFO [dump-all-ok] payment.yaml+DEFAULT_GROUP, 1676537724128, length=1051, md5=b8b88737e3b16ca25b0281357a75b5a6

2023-02-16 16:57:22,192 INFO [dump-all-ok] security.yaml+DEFAULT_GROUP, 1676537732958, length=621, md5=a0c37e0c239c255c8df453211c4de5ee

2023-02-16 16:57:22,193 INFO [dump-all-ok] warehouse.yaml+DEFAULT_GROUP, 1676537741562, length=1055, md5=4397ee72a188493c8bcdc9630f90043d

2023-02-16 17:45:57,284 INFO [dump-all-ok] gateway.yaml+DEFAULT_GROUP, 1676538329366, length=1297, md5=bce8559a9265ebc9b7dee7cbb5c625df

